x,y,ConstructionSite,category,area,struct_name
8,1,0,0,2,
8,2,0,0,2,
8,3,0,0,2,
8,4,0,0,2,
8,5,0,0,2,
8,6,0,0,2,
8,7,0,0,2,
9,4,1,0,2,
9,7,0,0,2,
9,6,1,0,2,
9,5,1,0,2,
9,2,0,0,2,
9,3,0,0,2,
9,1,0,0,2,
11,7,0,0,2,
11,1,0,0,2,
10,3,0,0,2,
10,2,0,0,2,
10,5,1,0,2,
10,6,1,0,2,
10,7,0,0,2,
10,4,1,0,2,
10,1,0,0,2,
15,2,0,0,2,
14,7,0,0,2,
15,4,1,0,2,
15,1,0,0,2,
15,5,1,0,2,
15,6,1,0,2,
15,7,0,0,2,
15,3,0,0,2,
14,6,1,0,2,
11,3,0,0,2,
11,5,1,0,2,
11,6,1,0,2,
11,2,0,0,2,
11,4,1,0,2,
12,3,0,0,2,
12,2,0,2,2, Building
13,4,1,0,2,
12,5,1,0,2,
13,2,0,0,2,
13,3,0,0,2,
13,6,1,0,2,
13,7,0,0,2,
13,5,1,0,2,
13,1,0,0,2,
12,4,1,0,2,
12,1,0,0,2,
12,6,1,0,2,
12,7,0,0,2,
14,2,0,3,2, MyHome
14,3,0,0,2,
14,4,1,0,2,
14,1,0,0,2,
14,5,1,1,2, Apartment
